"HE - Donation";"HE - Social Donation"
"pagetitle-donation-index-admin-donations";"Manage Causes"
"pagetitle-donation-index-admin-category";"Donation Categories"
"pagetitle-donation-index-admin-statistics";"Donation Statistics"
"pagetitle-donation-list-admin-statistics";"Donation Statistics"
"pagetitle-donation-index-admin-global";"Donation Settings"
"pagetitle-donation-index-admin-level";"Donations Member Level Settings"
"pagetitle-donation-create-charity";"Create Charity"
"pagetitle-donation-create-project";"Create Project"
"Are you sure you want to delete the selected donations?";"Are you sure you want to delete the selected donations?"
"Are you sure you want to delete this donation?";"Are you sure you want to delete this donation?"
"Donation Categories";"Donation Categories"
"Donation Plugin";"Social Donation Plugin"
"DONATION_Donations";"Donations"
"DONATION_Global Settings";"Global Settings"
"DONATION_Add New Donation";"Add New Donation"
"%s donation found.";"%s donation found.";"%s donations found."
"DONATION_Donate with %s";"Donate with %s"
"DONATION_Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"DONATION_You do not have any donations yet.";"You do not have any donations yet."

"DONATION_Donate";"Donate"
"DONATION_Raised:";"Raised:"
"Raised";"Raised"
"DONATION_Target:";"Target:"
"DONATION_Limited:";"Limited:"
"%s supporter:";"%s supporter:";"%s supporters:"
"%s DONATION_supporter";"%s supporter";"%s supporters"
"DONATION_Nobody has created a donation yet.";"Nobody has created a donation yet."

"DONATION_Search Donations:";"Search:"
"DONATION_All Categories";"All Categories"
"DONATION_Browse By:";"Browse By:"
"DONATION_Most Recent";"Most Recent"
"DONATION_Most Visited";"Most Visited"


"DONATION_This charity raised %s.";"This charity raised <b>%s</b>."
"DONATION_Choose the amount you would like to donate";"Choose the amount you would like to donate"
"DONATION_Or choose your own amount";"Or choose your own amount"
"DONATION_I would like to donate anonymously";"I would like to donate anonymously"
"DONATION_Your message";"Your message"
"DONATION_Full Name";"Full Name"
"DONATION_Email";"Email"
"DONATION_This project needs to raise a further %1$s to reach its funding target of %2$s";"This project needs to raise a further <b>%1$s</b> to reach its funding target of <b>%2$s</b>"
"DONATION_Amount";"Amount"
"DONATION_Please choose amount!";"Please choose amount!"
"DONATION_Please enter amount!";"Please enter donation amount!"
"DONATION_Please choose amount more than %s";"Please choose amount more than %s"
"DONATION_Please enter a valid name";"Please enter a valid name"
"DONATION_Please enter a valid email";"Please enter a valid email"
"DONATION_Go Back to The Site";"Go Back to The Site"
"DONATION_Back";"Back to profile"
"DONATION_Anonym";"Anonymous"
"DONATION_by ";"by "
"DONATION_for ";"for "

"DONATION_enabled0";"enable"
"DONATION_enabled1";"disable"
"DONATION_title";"Title"
"DONATION_owner";"Owner"
"DONATION_target_sum";"Target Sum"
"DONATION_raised";"Raised"
"DONATION_expiry_date";"Expiry Date"
"DONATION_date";"Date"
"DONATION_options";"Options"
"DONATION_category";"Category"
"Items Per Page";"Items Per Page"
"DONATION_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"These categories allows your members to categorize their donations - their are given the option of assigning a donation category. Members can browse donations by these categories. Please feel free to add, edit and delete categories."
"DONATION_Delete_Category";"Delete Donation Category?"

"_EMAIL_DONATION_EXPIRED_TITLE";"Donation Page Expired Email"
"_EMAIL_DONATION_EXPIRED_DESCRIPTION";"This email is sent to member when his Donation page is expired."
"_EMAIL_DONATION_EXPIRED_SUBJECT";"Your Donation Page Expired"
"_EMAIL_DONATION_EXPIRED_BODY";"[header]
Hello [owner_name],

Your Donation page has been expired and hidden from listings:
[donation]

[footer]"

"_EMAIL_DONATION_FUNDRAISE_EXPIRED_TITLE";"Fundraising Expired Email"
"_EMAIL_DONATION_FUNDRAISE_EXPIRED_DESCRIPTION";"This email is sent to member when his Fundraising page is expired."
"_EMAIL_DONATION_FUNDRAISE_EXPIRED_SUBJECT";"Your Fundraising Page Expired"
"_EMAIL_DONATION_FUNDRAISE_EXPIRED_BODY";"[header]
Hello [owner_name],

Your Fundraising page has been expired and hidden from listings. Thank you for the help:
[findraise]

[footer]"

"_EMAIL_DONATION_CHILD_FUNDRAISE_EXPIRED_TITLE";"Fundraising Page Expired Due To The Donation Expiration Email"
"_EMAIL_DONATION_CHILD_FUNDRAISE_EXPIRED_DESCRIPTION";"This email is sent to member when his Fundraising page is expired due to expiration of the Donation page for which the member is raising money."
"_EMAIL_DONATION_CHILD_FUNDRAISE_EXPIRED_SUBJECT";"Your Fundraising Page Expired"
"_EMAIL_DONATION_CHILD_FUNDRAISE_EXPIRED_BODY";"[header]
Hello [owner_name],

The Donation page has been expired, for which you have been raising money. So your Fundraising page has been expired too and hidden from listings. Thank you for the help:
[child_findraise]

[footer]"


"_EMAIL_DONATION_TARGET_TITLE";"Donation Closed Due To Reaching The Target Amount Email"
"_EMAIL_DONATION_TARGET_DESCRIPTION";"This email is sent to member when his Donation page closed due to reaching the target amount."
"_EMAIL_DONATION_TARGET_SUBJECT";"Your Donation Page Reached The Target Amount!"
"_EMAIL_DONATION_TARGET_BODY";"[header]
Hello [owner_name],

Your Donation page has been closed due to reaching the target amount. Please check it here:
[donation]

[footer]"

"_EMAIL_DONATION_FUNDRAISE_TARGET_TITLE";"Fundraising Closed Due To Reaching The Target Amount Email"
"_EMAIL_DONATION_FUNDRAISE_TARGET_DESCRIPTION";"This email is sent to member when his Fundraising page closed due to reaching the target amount."
"_EMAIL_DONATION_FUNDRAISE_TARGET_SUBJECT";"Your Fundraising Page Reached The Target Amount!"
"_EMAIL_DONATION_FUNDRAISE_TARGET_BODY";"[header]
Hello [owner_name],

Your Fundraising page has been closed due to reaching the target amount. Thank you for your help and support. Please check it here:
[findraise]

[footer]"

"_EMAIL_DONATION_CHILD_FUNDRAISE_TARGET_TITLE";"Fundraising Closed Due To The Donation Reaching The Target Amount Email"
"_EMAIL_DONATION_CHILD_FUNDRAISE_TARGET_DESCRIPTION";"This email is sent to member when his Fundraising page closed due to the Donation reaching the target amount."
"_EMAIL_DONATION_CHILD_FUNDRAISE_TARGET_SUBJECT";"Your Fundraising Page Closed"
"_EMAIL_DONATION_CHILD_FUNDRAISE_TARGET_BODY";"[header]
Hello [owner_name],

Your Fundraising page has been closed due to the Donation reaching the target amount. Thank you for your help and support. Please check it here:
[child_findraise]

[footer]"


"DONATION_FANCY_UPLOAD_DESCRIPTION";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"DONATION_UPLOAD_A_PHOTO_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your product."
"DONATION_EXPIRY_DATE_DESC";"Select expiration date for you donation"
"DONATION_Raise_money %1$s, %2$s";"Raise Money For `%1$s` %2$s"
"DONATION_Raise_money_description %1$s, %2$s";"<br><b>It is easy to raise money for the %1$s</b>, just type your headline and story for the fundraising page and start sharing it with your friends.<br /><br />
                                                     <b>Funds are transfered directly to the %2$s</b>, you are not needed to manage or worry about funds transferring.<br /><br />"



"DONATION_There no transaction has been done yet.";"There are no transactions."
"DONATION_VIEWS_SCRIPTS_STATISTICS_TRANSACTIONS_DESCRIPTION %s";"Below you can view list of all transactions in your %s."
"DONATION_transaction %s";"Transactions for %s"
"DONATION_No order found with the provided id.";"No order has been found with the provided ID."
"DONATION_Order Details";"Order Details"
"DONATION_Title";"Donation Title"
"DONATION_Parameters";"Parameters"
"DONATION_Date";"Donation Date"
"DONATION_Payment Details";"Payment Details"
"DONATION_Gateway Transaction ID";"Transaction ID"
"DONATION_details";"Transaction Details"
"DONATION_description";"Description"
"DONATION_VIEWS_SCRIPTS_STATISTICS_CHART_DESCRIPTION";"Below you can view sales statistics for Gross Amount and Transactions Count per selected periods(week, month, year)."
"DONATION_Chart Statistic";"Donation Statistics Chart"
"DONATION_Chart";"Chart"
"DONATION_List";"List"
"DONATION_Statistics";"Donation Statistics"
"DONATION_Select a date";"Select a date"
"DONATION_Profile_statistic";"View Statistics"

"DONATION_Your changes has been saved.";"Your changes have been saved."
"DONATION_FORM_ADMIN_GLOBAL_TITLE";"Donation Settings"
"DONATION_FORM_ADMIN_GLOBAL_DESCRIPTION";"Here you can configure Social Donation plugin settings. You can totally disable Charities(or Projects/Fundraising) on your site if you do not like such type of donations. It is enough to have only one type of donation, in this case members are not given an option to select donation type."
"DONATION_Enable Fundraising?";"Enable Fundraising?"
"DONATION_Enable Charities?";"Enable Charities?"
"DONATION_Enable Projects?";"Enable Projects?"
"DONATION_Please enable charity or project";"Please enable charity or project"
