"The payment account is not set. Please contact admin for more details!";"The payment account is not set. Please contact admin for more details!"
"INACTIVED";"INACTIVED"
"You can submit %s entries more";"You can submit %s entries more"
"You have %1$s videos. You can also %2$supload new video%3$s";"You have %1$s videos. You can also %2$supload new video%3$s"
"Filter your videos";"Filter your videos"
"Category:";"Category:"
"Contest Duration";"Contest Duration"
"%s day left";"%s day left";"%s days left"
"%s month left";"%s month left";"%s months left"
"%s year left";"%s year left";"%s years left"
"%s hour %s minute left";"%s hour %s minute left";"%s hours %s minutes left"
"Submit Entries <i>(Opening)";"Submit Entries <i>(Opening)"
"Submit Entries <i>(On Going)</i>";"Submit Entries <i>(On Going)</i>"
"Voting <i>(Opening)</i>";"Voting <i>(Opening)</i>"
"Voting <i>(On Going)</i>";"Voting <i>(On Going)</i>"
"End Contest On";"End Contest On"
"My Entries";"My Entries"
"You have only one entry";"You have only one entry"
"Submit Entries";"Submit Entries"
"UNACTIVATED";"UNACTIVATED"
"<i>(Opening)</i>";"<i>(Opening)</i>"
"End";"End"
"Blog";"Blog"
"Music";"Music"
"Video";"Video"
"Photo";"Photo"
"Category";"Category"
"Contest Image*";"Contest Image*"
"Start Date Contest Period*";"Start Date Contest Period*"
"End Date Contest Period*";"End Date Contest Period*"
"Start Date Submit Entries Period*";"Start Date Submit Entries Period*"
"End Date Submit Entries Period*";"End Date Submit Entries Period*"
"Start Date Vote Entries Period*";"Start Date Vote Entries Period*"
"End Date Vote Entries Period*";"End Date Vote Entries Period*"
"%s must be greater than or equal to Current Date.";"%s must be greater than or equal to Current Date."
"%s must be less than %s.";"%s must be less than %s."
"%s is between %s and %s.";"%s is between %s and %s."
"End: ";"End: "
"View more...";"View more..."
"Copy to Clipboard";"Copy to Clipboard"
"FEATURE";"FEATURE"
"PREMIUM";"PREMIUM"
"ENDING SOON";"ENDING SOON"
"Most Voted Entries";"Most Voted Entries"
"There are no entries wins by owner";"There are no entries wins by owner"
"There are no entries wins by vote";"There are no entries wins by vote"
"There is no contest meets your criteria.";"There is no contest meets your criteria."


"Start date";"Start date"
"Description*";"Description*"
"Start Date must be greater than or equal to Current Date.";"Start Date must be greater than or equal to Current Date."
"Start Date must be less than End Date.";"Start Date must be less than End Date."
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Allow members to comment on my contest.";"Allow members to comment on my contest."
"Allow members to comment on entries.";"Allow members to comment on entries."
"User must join in order to submit entries.";"User must join in order to submit entries."
"New Entries can approve immediately.";"New Entries can approve immediately."
"Send me an email when there is a posted entry.";"Send me an email when there is a posted entry."
"Maximum entries which a member can submit.";"Maximum entries which a member can submit."
"Contest Settings";"Contest Settings"
"0 means no limit";"0 means no limit"
"Close Contest?";"Close Contest?"
"Unfollow";"Unfollow"
"On";"On"
"Entry {item:$subject} has just lost award in contest {item:$object}.";"Entry {item:$subject} has just lost award in contest {item:$object}."
"Your entry {item:$subject} has just lost award in contest {item:$object}.";"Your entry {item:$subject} has just lost award in contest {item:$object}."
"{item:$subject}  has just voted your entry {item:$object}.";"{item:$subject}  has just voted your entry {item:$object}."
"Votes";"Votes"
"Entry Name*";"Entry Name*"
"{item:$subject} has just denied your contest {item:$object}.";"{item:$subject} has just denied your contest {item:$object}."
"{item:$subject} has just edited contest {item:$object}.";"{item:$subject} has just edited contest {item:$object}."
"{item:$subject} has requested to join the contest {item:$object}.";"{item:$subject} has requested to join the contest {item:$object}."
"Your entry {item:$subject} won in contest {item:$object}.";"Your entry {item:$subject} won in contest {item:$object}."
"Entry {item:$subject} won in contest {item:$object}.";"Entry {item:$subject} won in contest {item:$object}."
"Your entry {item:$subject} has just denied in contest {item:$object}.";"Your entry {item:$subject} has just denied in contest {item:$object}."
"{item:$subject} has just closed your contest {item:$object}.";"{item:$subject} has just closed your contest {item:$object}."
"{item:$subject} has just closed contest {item:$object}";"{item:$subject} has just closed contest {item:$object}"
"Your request to join the contest {item:$subject} has been approved.";"Your request to join the contest {item:$subject} has been approved."
"You have submited new entry in contest {item:$object}.";"You have submited new entry in contest {item:$object}."
