# language

"YNLISTINGS_EMAIL_TO_FRIENDS_DESCRIPTION";"Send this listing to your friends."

"Listings";"Listings"
"Listings Home Page";"Listings Home Page"
"Featured Listings";"Featured Listings"
"Browse Categories";"Browse Categories"
"Most Listings";"Most Listings"
"Recent Listings";"Recent Listings"
"Most Viewed Listings";"Most Viewed Listings"
"Search Listings";"Search Listings"
"Browse by";"Browse by"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Most Liked";"Most Liked"
"Most Discussed";"Most Discussed"
"Alphabetic";"Alphabetic"
"Radius (mile)";"Radius (mile)"
"Category";"Category"
"All";"All"
"Search";"Search"
"Most Liked Listings";"Most Liked Listings"
"Most Discussion Listings";"Most Discussion Listings"
"Most Review Listings";"Most Review Listings"
"Recently Viewed Listings";"Recently Viewed Listings"
"Listings You May Like";"Listings You May Like"
"Tags";"Tags"
"Most Discussion";"Most Discussion"
"discussion";"discussion"
"discussions";"discussions"
"Most Reviewed";"Most Reviewed"
"Recently Viewed";"Recently Viewed"
"You May Like";"You May Like"
"There are no listings view on this map";"There are no listings view on this map"
"There are no listings.";"There are no listings."

"Browse Listings";"Browse Listings"
"Categories";"Categories"
"Highlight Listings";"Highlight Listings"
"Get Direction";"Get Direction"
"by ";"by "

"My Listings";"My Listings"
"Radius (mile)..";"Radius (mile).."
"No listings found.";"No listings found."
"Import Listings";"Import Listings"
"Export Listings";"Export Listings"
"reviews";"reviews"
"review";"review"
"views";"views"
"view";"view"
"likes";"likes"
"like";"like"
"Category: ";"Category: "
"Location: ";"Location: "
"Listing Status: ";"Listing Status: "
"Approved Status: ";"Approved Status: "
"Edit Listing";"Edit Listing"
"Select Theme";"Select Theme"
"Add Photos";"Add Photos"
"Add Videos";"Add Videos"
"Close Listing";"Close Listing"
"Delete Listing";"Delete Listing"
"Re-open Listing";"Re-open Listing"
"Listings Status";"Listings Status"
"Only Open Listings";"Only Open Listings"
"Only Closed Listings";"Only Closed Listings"
"Only Draft Listings";"Only Draft Listings"
"Only Expired Listings";"Only Expired Listings"
" Get Direction";" Get Direction"
"Publish Listing";"Publish Listing"
" - by ";" - by "
" Get Direction";" Get Direction"
"Select";"Select"
"Are you sure you want to delete this listing?";"Are you sure you want to delete this listing?"
"Are you sure you want to close this listing?";"Are you sure you want to close this listing?"
"Are you sure you want to re-open this listing?";"Are you sure you want to re-open this listing?"

"Add more photos";"Add more photos"
"Title";"Title"
"Save Changes";"Save Changes"
"or";"or"

"Select gateway to place order";"Select gateway to place order"

"FAQs";"FAQs"

"Edit";"Edit"

"Post A New Listing";"Post A New Listing"
"Post New Listing";"Post New Listing"
"Select Themes";"Select Themes"
"Preview Theme";"Preview Theme"
"Listing Title";"Listing Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Short Description";"Short Description"
"Description";"Description"
"About Us";"About Us"
"Main Photo";"Main Photo"
"Price";"Price"
"Currency";"Currency"
"End date";"End date"
"No end date.";"No end date."
"End this listing on a specific day.";"End this listing on a specific day."
"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."
"View Privacy";"View Privacy"
"Everyone";"Everyone"
"All Registered";"All Registered"
"My Network";"My Network"
"My Friends";"My Friends"
