"YouNet Location-based System Plugin";"YouNet Location-based System Plugin"
"This page is for managing supported modules with Location-based System. Admin can enable / disable specific modules. After disabling, all of the widgets belong to that module will not be applied with location-based searching feature.";"This page is for managing supported modules with Location-based System. Admin can enable / disable specific modules. After disabling, all of the widgets belong to that module will not be applied with location-based searching feature."
"Module Name";"Module Name"
"Enabled";"Enabled"
"here are no module items yet.";"here are no module items yet."
"Search by Location";"Search by Location"
"Enter a location";"Enter a location"
"Radius (miles)";"Radius (miles)"
"Clear Search";"Clear Search"
"Click to insert current location";"Click to insert current location"
