"quiz";"quiz";"quizzes"
"quiz_The image you selected was too large.";"The image you selected is too large."
"quiz_This result has been removed.";"This result has been removed."
"quiz_This question has been removed.";"This question has been removed."
"quiz_This quiz has been removed.";"This quiz has been removed."
"quiz_Please answer for all questions!";"Please answer for all questions!"
"You successfully passed the quiz.";"You successfully passed the quiz."
"Please take this quiz to continue.";"Please take this quiz to continue."
"{$val} of {$total} results<br>{$percent}";"#val# of #total# results<br>#percent#"
"Browse Quizzes";"Browse Quizzes"
"My Quizzes";"My Quizzes"
"Quizzes Page";"Quizzes Page"
"Create new quiz";"Create new quiz"
"quiz_Basics";"Basics"
"quiz_Results";"Results"
"quiz_Questions";"Questions"
"quiz_Publish";"Publish"
"quiz_You need to create at least %s result";"You need to create at least %s result";"You need to create at least %s results"
"quiz_You need to create at least %s question";"You need to create at least %s question";"You need to create at least %s questions"
"quiz_You need to fill out all answers";"You need to fill out all answers"
"quiz_Category Name";"Category Name"
"quiz_Add Category";"Add Category"
"quiz_Edit Category";"Edit Category"
"quiz_These settings affect all members in your community.";"This page allows you to control minimal questions and results count per quiz, quiz count which will be shown on browse quizzes page. These settings affect all members in your community."
"quiz_Choices";"Minimal Results Count"
"ADMIN_QUIZ_GLOBAL_FORM_MIN_ANSWER";"Choose minimal count of results which user should add into Quiz."
"ADMIN_QUIZ_GLOBAL_FORM_MIN_QUESTION";"Choose minimal count of questions which user should add into Quiz."
"Quizzes on page";"Quizzes Per Page"
"ADMIN_QUIZ_GLOBAL_FORM_MIN_ON_PAGE";"How many quizzes will be shown per page?"
"Quiz level settings.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Quizzes?";"Allow Viewing of Quizzes?"
"QUIZ_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let members view quizzes?"
"No, do not allow quizzes to be viewed.";"No, do not allow quizzes to be viewed."
"Yes, allow viewing of quizzes.";"Yes, allow viewing of quizzes."
"Yes, allow viewing of all quizzes, even private ones.";"Yes, allow viewing of all quizzes, even private ones."
"Allow Creation of Quizzes?";"Allow Creation of Quizzes?"
"Do you want to allow members to create quizzes?";"Do you want to allow members to create quizzes?"
"Yes, allow this member level to create quizzes";"Yes, allow this member level to create quizzes"
"No, do not allow this member level to create quizzes";"No, do not allow this member level to create quizzes"
"Allow Taking of Quizzes?";"Allow Taking of Quizzes?"
"Do you want to allow members to take quizzes?";"Do you want to allow members to take quizzes?"
"Yes, allow this member level to take quizzes";"Yes, allow this member level to take quizzes"
"No, do not allow this member level to take quizzes";"No, do not allow this member level to take quizzes"
"Quiz Privacy";"View Quiz Privacy"
"QUIZ_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their quizzes. These options appear on your members' Add Quiz" and "Edit Quiz" pages. If you do not check any options, everyone will be allowed to view quizzes."
"Quiz Comment Options";"Quiz Comment Options"
"QUIZ_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their quizzes. If you do not check any options, everyone will be allowed to post comments on quizzes."
"HTML in Quizzes?";"HTML in Quizzes?"
"quiz_If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"Create quiz";"Create quiz"
"Create new quiz description";"Please fill this form to create a new quiz."
"quiz_Title";"Title"
"quiz_Tags (Keywords)";"Tags (Keywords)"
"quiz_Separate tags with commas.";"Separate tags with commas."
"quiz_Category";"Category"
"quiz_Upload a Picture";"Upload a Picture"
"This is very important! It will make your quiz more popular!";"This is very important! It will make your quiz more popular!"
"Show this quiz in search results";"Show this quiz in search results"
"Who may see this quiz?";"Who may see this quiz?"
"Who may post comments on this quiz?";"Who may post comments on this quiz?"
"Create quiz question";"Create quiz question"
"Create quiz question description";"Please fill the following fields to create quiz question."
"quiz_Question";"Question"
"Save Quiz Question";"Save Quiz Question"
"Create quiz result";"Create quiz result"
"quiz_Create Result Form Description";"Please fill the following fields to create result for quiz."
"Save Quiz Result";"Save Quiz Result"
"Edit Quiz";"Edit Quiz"
"Edit quiz description";"Please fill the following fields to edit your quiz details"
"Publish quiz";"Publish quiz"
"Quiz Form Description";"You have successfully created the quiz. Please click on `Publish` button to make your quiz available for other members."
"quiz_UnPublish";"UnPublish"
"quiz_Published";"Published"
"Search Quizzes";"Search Quizzes"
"quiz_Browse By";"Browse By"
"quiz_Most Recent";"Most Recent"
"quiz_Most Viewed";"Most Viewed"
"quiz_Show";"Show"
"Everyone's Quizzes";"Everyone's Quizzes"
"All Quizzes";"All Quizzes"
"quiz_All Categories";"All Categories"
"Most Popular Quizzes";"Most Popular Quizzes"
"Displays most popular quizzes.";"Displays most popular quizzes."
"Most Taken Quizzes";"Most Taken Quizzes"
"Displays most taken quizzes.";"Displays most taken quizzes."
"Most Recent Quizzes";"Most Recent Quizzes"
"Displays most recent quizzes.";"Displays most recent quizzes."
"Most Commented Quizzes";"Most Commented Quizzes"
"Displays most commented quizzes.";"Displays most commented quizzes."
"Last Taken Quizzes";"Last Taken Quizzes"
"Displays last taken quizzes.";"Displays last taken quizzes."
"Delete Quiz Category?";"Delete Quiz Category?"
