"Your changes have been saved.";"Your changes have been saved."
"Deleted file successfully.";"Deleted file successfully."
"Deleted successfully.";"Deleted successfully."
"Cannot move to this folder, because this user is allowed to store %d KB.";"Cannot move to this folder, because this user is allowed to store %d KB."
"Cannot move to this folder, because this group is allowed to store %d KB.";"Cannot move to this folder, because this group is allowed to store %d KB."
"Cannot move to this folder, because this business is allowed to store %d KB.";"Cannot move to this folder, because this business is allowed to store %d KB."
"Moved successfully.";"Moved successfully."
"Folder %s (#%d) cannot be moved to the folder %s (#%d) because the folder name is the same with an existing sub folder.";"Folder %s (#%d) cannot be moved to the folder %s (#%d) because the folder name is the same with an existing sub folder."
"File Sharing Plugin";"File Sharing Plugin"
"File Sharing";"File Sharing"
"Delete Files?";"Delete Files?"
"Delete Links";"Delete Links"
"Delete Links?";"Delete Links?"
"Are you sure that you want to delete this file? It will not be recoverable after being deleted.";"Are you sure that you want to delete this file? It will not be recoverable after being deleted."
"Delete";"Delete"
" or ";" or "
"cancel";"cancel"
"Home";"Home"
"posted by";"posted by"
"The API information has not been configured.";"The API information has not been configured."
"This document is not supported to be previewed.";"This document is not supported to be previewed."
"Sorry, there is something wrong with uploading document to preview";"Sorry, there is something wrong with uploading document to preview"
"Delete Folder?";"Delete Folder?"
"Are you sure that you want to delete this folder? It will not be recoverable after being deleted.";"Are you sure that you want to delete this folder? It will not be recoverable after being deleted."
"Edit Folder Permission";"Edit Folder Permission"
"Tags";"Tags"
"Owner";"Owner"
"Move To...";"Move To..."
"Move";"Move"
"The source folder and the destination folder are the same. Please choose a different destination folder.";"The source folder and the destination folder are the same. Please choose a different destination folder."
"Delete Folders and Files?";"Delete Folders and Files?"
"Are you sure that you want to delete these items? They will not be recoverable after being deleted.";"Are you sure that you want to delete these items? They will not be recoverable after being deleted."
"View More";"View More"
"Create a new folder";"Create a new folder"
"There is no folders and files founded.";"There is no folders and files founded."
"This folder is empty.";"This folder is empty."
"Name";"Name"
"Type";"Type"
"Owner";"Owner"
"Modified Date";"Modified Date"
"Views";"Views"
"Downloads";"Downloads"
"Download";"Download"
"Save Changes";"Save Changes"
"or";"or"
"File name";"File name"
"Title";"Title"
"Link:";"Link:"
"Tags (Keywords)";"Tags (Keywords)"
"Save Folder";"Save Folder"
"Everyone";"Everyone"
"Copy to clipboard: Ctrl+C";"Copy to clipboard: Ctrl+C"
"All Registered Members";"All Registered Members"
"Group Members";"Group Members"
"Group Owner";"Group Owner"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Privacy viewing";"Privacy viewing"
"Privacy creating";"Privacy creating"
"Privacy editing";"Privacy editing"
"Privacy deleting";"Privacy deleting"
"Privacy comment";"Privacy comment"
"Search";"Search"
"All";"All"
"File";"File"
"Folder";"Folder"
"List By";"List By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Most Downloaded";"Most Downloaded"
"Separate tags with commas.";"Separate tags with commas."
"Who may view this folder?";"Who may view this folder?"
"Who may create sub folders in this folder?";"Who may create sub folders in this folder?"
"Who may rename or move this folder?";"Who may rename or move this folder?"
"Who may delete this folder?";"Who may delete this folder?"
"Who may comment in this folder?";"Who may comment in this folder?"
"Max number of files per user";"Max number of files per user"
"How many files will be created per user?";"How many files will be created per user?"
"Max file size per user";"Max file size per user"
"What is the maximum file size (Kb) that can be uploaded by user?";"What is the maximum file size (Kb) that can be uploaded by user?"
"Max total size per user";"Max total size per user"
"What is the total size (Kb) that can be uploaded by user?";"What is the total size (Kb) that can be uploaded by user?"
"Max total size per folder";"Max total size per folder"
"What is the total file size (Kb) that a folder can contain?";"What is the total file size (Kb) that a folder can contain?"
"Max total size per group";"Max total size per group"
"Max total size per business";"Max total size per business"
"What is the total file size (Kb) that a group can contain?";"What is the total file size (Kb) that a group can contain?"
"What is the total file size (Kb) that a business can contain?";"What is the total file size (Kb) that a business can contain?"
"Member Level Settings";"Member Level Settings"
"Global Settings";"Global Settings"
"Allow Viewing of Folders?";"Allow Viewing of Folders?"
"Do you want to let members view folders? If set to no, some other settings on this page may not apply.";"Do you want to let members view folders? If set to no, some other settings on this page may not apply."
"Yes, allow viewing of all folders, even private ones.";"Yes, allow viewing of all folders, even private ones."
"Yes, allow viewing of folders.";"Yes, allow viewing of folders."
"No, do not allow folders to be viewed.";"No, do not allow folders to be viewed."
"Allow Creation of Folders?";"Allow Creation of Folders?"
