"ADMIN_ACTIVITY_TYPE_YNAUCTION_NEW";"When a user (subject) posts a new auction (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_YNAUCTION";"When a user (subject) comments on another user's (object) auction."
"ADMIN_ACTIVITY_TYPE_COMMENT_PENNYAUCTION";"When a user (subject) comments on another user's (object) auction."

"_ACTIVITY_ACTIONTYPE_YNAUCTION_NEW";"New auctions"
"_ACTIVITY_ACTIONTYPE_COMMENT_YNAUCTION";"Comments on your auctions"

"ACTIVITY_TYPE_COMMENTED_YNAUCTION";"When someone comments on a auction I commented on."
"ACTIVITY_TYPE_COMMENT_YNAUCTION";"When someone comments on my auction."
"ACTIVITY_TYPE_LIKE_YNAUCTION";"When someone likes one of my auctions."
"ACTIVITY_TYPE_LIKED_YNAUCTION";"When someone comments on a auction posting I liked."
"ACTIVITY_TYPE_YNAUCTION_NEW";"When a new auction is posted."

"ACTIVITY_TYPE_YNAUCTION_BIDDED";"When people bid on things I post."
"ACTIVITY_TYPE_YNAUCTION_BIDDED_BIDDED";"When people bid on things I've bidded"
"ACTIVITY_TYPE_YNAUCTION_WON";"When people win on things I post."
"ACTIVITY_TYPE_YNAUCTION_WON_BIDDED";"When people win on things I've bidded."
"ACTIVITY_TYPE_YNAUCTION_DELETED_BIDDED";"When people delete on things I've bidded" 
"ACTIVITY_TYPE_YNAUCTION_STOPPED_BIDDED";"When people stop on things I've bidded" 
"ACTIVITY_TYPE_YNAUCTION_APPROVED_BECOME";"When admin approve on my request become auction seller" 
"ACTIVITY_TYPE_YNAUCTION_DENIED_BECOME";"When admin deny on my request become auction seller" 
"ACTIVITY_TYPE_YNAUCTION_APPROVED_BOUGHT";"When seller approve on an auction I've bought" 
"ACTIVITY_TYPE_YNAUCTION_DENIED_BOUGHT";"When seller deny on an auction I've bought" 
"ACTIVITY_TYPE_YNAUCTION_APPROVED_PROPOSAL";"When seller approve on an auction I've proposal price" 
"ACTIVITY_TYPE_YNAUCTION_DENIED_PROPOSAL";"When seller deny on an auction I've proposal price" 

"ITEM_TYPE_YNAUCTION_PRODUCT";"Auctions"
"ITEM_TYPE_YNAUCTION_CATEGORY";"Auction Categories"
"ITEM_TYPE_YNAUCTION_PARAM";"Auction Params"
"ITEM_TYPE_YNAUCTION_BID";"Auction Bids"
"ITEM_TYPE_YNAUCTION_ALBUM";"Auction Albums"
"ITEM_TYPE_YNAUCTION_PHOTO";"Auction Photos"
"ITEM_TYPE_YNAUCTION_LOCATION";"Auction Locations"
"ITEM_TYPE_YNAUCTION_BECOM";"Auction Becoms"
"ITEM_TYPE_YNAUCTION_CONFIRM";"Auction Confirms"
"ITEM_TYPE_YNAUCTION_HELP_PAGE";"Help Pages"

"YNAUCTION_FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about their auction listing when creating a new auction. Create some auction questions that allow them to describe their product in a way that relates to the theme of your community. To reorder the auction questions, click on their names and drag them up or down."
"YNAUCTION_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Auctions?";"Allow Viewing of Auctions?"
"Do you want to let members view auctions? If set to no, some other settings on this page may not apply.";"Do you want to let members view auctions? If set to no, some other settings on this page may not apply."
"No, do not allow auctions to be viewed.";"No, do not allow auctions to be viewed."
"Yes, allow viewing of auctions.";"Yes, allow viewing of auctions."
"Yes, allow viewing of all auctions, even private ones.";"Yes, allow viewing of all auctions, even private ones."

"YNAUCTION_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let members create auctions? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view auctions, but only want certain levels to be able to create auctions."
"YNAUCTION_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their auctions. These options appear on your members' ""Post auctions"" and ""Edit auctions"" pages. If you do not check any options, everyone will be allowed to view auctions."
"YNAUCTION_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their listings. If you do not check any options, everyone will be allowed to post comments on auctions."

"YNAUCTION_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the auctions your users have posted. You can use this page to monitor these auctions and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific auctions. Leaving the filter fields blank will show all the auctions on your social network."
"There are no auctions.";"There are no auctions."

"Delete Auction?";"Delete Auction?"
"YNAUCTION_VIEWS_SCRIPTS_ADMINMANAGE_DELETE_DESCRIPTION";"Are you sure that you want to delete this auction? It will not be recoverable after being deleted."
"Delete Auction Category?"
"YNAUCTION_VIEWS_SCRIPTS_ADMINSETTINGS_DELETE_DESCRIPTION";"Are you sure that you want to delete this category? It will not be recoverable after being deleted."

"Auction";"Auction"
"Browse";"Browse"
"Participate Auctions";"Participate Auctions"
"My Auctions";"My Auctions"
"My Account";"My Account"
"Winning";"Winning"
"My Boughts";"My Boughts"
"Post Auction";"Post Auction"
"Help";"Help"
"FAQs";"FAQs"
"Featured";"Featured"
"Start Time";"Start Time"
"Total Bids";"Total Bids"
"Upcoming";"Upcoming"
"Running";"Running"
"Ended";"Ended"
"All Categories";"All Categories"
"All SubCategories";"All SubCategories"
"There are no featured auctions yet.";"There are no featured auctions yet."
"Pending";"Pending"
"Won";"Won"
"Sold";"Sold"
"Who may view and bid this product?";"Who may view and bid this product?"
"Who may post comments on this product?";"Who may post comments on this product?"
"Participate Auctions";"Participate Auctions"
"Compose your new auction below, then click 'Create Auction' to publish auction.";"Compose your new auction below, then click 'Create Auction' to publish auction."
"Post New Auction";"Post New Auction"
"I agrees to the";"I agrees to the"
"Payment Method";"Payment Method"
"Shipping & Delivery";"Shipping & Delivery"
"Edit Auction";"Edit Auction"
"Edit your auction below, then click "Save Changes" to save your auction.";"Edit your auction below, then click "Save Changes" to save your auction."
"Search Auctions";"Search Auctions"
"Status";"Status"
"Category";"Category"
"SubCategory";"SubCategory"
" bids";" bids"
" auctions";" auctions"
" Auction";" Auction"
"User Auctions";"User Auctions"
"Featured Auctions";"Featured Auctions"
"Publish auction";"Publish auction"
"Delete auction";"Delete auction"
"Posted by";"Posted by"
"Status:";"Status:"
"Start Time:";"Start Time:"
"End Time:";"End Time:"
"Proposal price";"Proposal price"
"Personal Finance Account Management.";"Personal Finance Account Management."
"View my transaction history";"View my transaction history"
"User Information";"User Information"
"Full name";"Full name"
"Paypal account";"Paypal account"
"Edit Information";"Edit Information"
"Sold Items Summary";"Sold Items Summary"
"Price";"Price"
"Edit Personal Information";"Edit Personal Information"
"Paypal Email Address";"Paypal Email Address"
"Bid Price";"Bid Price"
"Pay";"Pay"
"Currency*";"Currency*"
"Buy Now price*";"Buy Now price*"
"Starting Bid price*";"Starting Bid price*"
"Minimun Increment";"Minimun Increment"
"Maximum Increment";"Maximum Increment"
"Main image of product (jpg, png, gif, jpeg)";"Main image of product (jpg, png, gif, jpeg)"
"Thumbnail*";"Thumbnail*"
"Select a date";"Select a date"
"Start Time*";"Start Time*"
"End Time*";"End Time*"
"Product Introduction";"Product Introduction"
"Term of Use and Privacy Statement";"Term of Use and Privacy Statement"
"No item found.";"No item found."
"There is no faq.";"There is no faq."
"Posted by %1$s";"Posted by %1$s"
"Latest Auctions";"Latest Auctions"
"Running Auctions";"Running Auctions"
"Most Rated Auctions";"Most Rated Auctions"
"Active Bidder Auctions";"Active Bidder Auctions"
"Bid history";"Bid history"
"Bids";"Bids"
"Latest Bidder";"Latest Bidder"
"Deal End In";"Deal End In"
"Starting Price";"Starting Price"
"BuyOut Price";"BuyOut Price"
"Current Price";"Current Price"
"Listing Auctions";"Listing Auctions"
"Browse Auctions";"Browse Auctions"
"This is the page Auctions";"This is the page Auctions"
"%1$s's auction";"%1$s's auction"
"Your Max Bid";"Your Max Bid"
"Place Bid";"Place Bid"
"(Enter ";"(Enter "
"or up to ";"or up to "
"Buy Now";"Buy Now"
"Please enter your max bid!";"Please enter your max bid!"
"Please enter your max bid between";"Please enter your max bid between"
"Please enter your max bid should be greater than";"Please enter your max bid should be greater than"
"Place Bid";"Place Bid"
"User have deleted";"User have deleted"
"Introduction";"Introduction"
"Highest Bidder";"Highest Bidder"
"Bidder";"Bidder"
"Refresh list";"Refresh list"
"Bid Amount";"Bid Amount"
"Bid Time";"Bid Time"
"Seller assumes all responsibility for this listing";"Seller assumes all responsibility for this listing"
"Proposal Amount";"Proposal Amount"
"Proposal Time";"Proposal Time"
"Shipping";"Shipping"
"Location";"Location"
"Payment Detail";"Payment Detail"
"Bid History";"Bid History"
"Proposal History";"Proposal History"
