"sep_welcome_block_title";"Welcome to our Network"
"sep_welcome_block_descr";"<h1>Hello!</h1><p>This page is an example of what your social network's portal can look like. You can also use this page to display news or any other content you place into the template. You can replace this text by editing language phrases in admin panel.</p>"
"sep_log out";"log out"
"sep_userstatus_online";"online"
"sep_userstatus_offline";"offline"
"sep_userstatus_away";"away"
"sep_userstatus_busy";"busy"
"sep_userstatus_unavailable";"unavailable"
"sep_userstatus_invisible";"invisible"
"sep_userstatus_out to lunch";"out to lunch"
"sep_mobile_version_title";"Social network in Mobile"
"sep_mobile_version_descr";"Keep your entire friends network in your pocket with the our mobile version of our social network."
"sep_You have no friends yet";"You have no friends yet"
