
"PHOTOVIEWER_All photos"; "All photos"
"PHOTOVIEWER_Slideshow"; "Slideshow"
"PHOTOVIEWER_from"; "from"
"PHOTOVIEWER_Play"; "Play"
"PHOTOVIEWER_Pause"; "Pause"
"PHOTOVIEWER_Repeat"; "Repeat"
"PHOTOVIEWER_Repeat"; "Repeat"
"PHOTOVIEWER_actions"; "actions"
"PHOTOVIEWER_loading"; "loading"
"PHOTOVIEWER_Download this photo"; "Download this photo"
"PHOTOVIEWER_GOTO_PHOTO"; "Go photo"

"Photo Viewer Settings"; "Photo Viewer Settings"
"Enable Photo Viewer"; "Enable Photo Viewer"
"Slideshow time per a photo (sec)"; "Slideshow time per a photo (sec)"
"Can users to download photos"; "Can users to download photos"
