"Your browser does not support JavaScript!";"Your browser does not support JavaScript!"
"No friends found.";"No friends found."
"Connection timed out, please try again.";"Connection timed out, please try again."
"Search";"Search"
"Too big image file!";"Too big image file!"
"Please try another image.";"Please try another image."
"Upload";"Upload"
"Add";"Add"
"View old conversation";"View old conversation"
"Yesterday";"Yesterday"
"days";"days"
"months";"months"
"Show messages from";"Show messages from"
"Advanced settings";"Advanced settings"
"Close all chat tabs","Close all chat tabs"
"Go Offline";"Go Offline"
"Go Online";"Go Online"
"Play sound on new message";"Play sound on new message"
"Yes";"Yes"
"No";"No"
"Enter name";"Enter name"
"Searching...";"Searching..."
"Turn on chat except";"Turn on chat except"
"Turn on chat for only some friends";"Turn on chat for only some friends"
"Save";"Save"
"Chat";"Chat"
"Mobile";"Mobile"
"Web";"Web"
"Message History";"Message History"
"Video";"Video"
"Photo";"Photo"
"Add file(s)";"Add file(s)"
"Upload Photo";"Upload Photo"
"Choose a sticker or emoticon";"Choose a sticker or emoticon"
"Please try again. Make sure you are uploading a valid photo.";"Please try again. Make sure you are uploading a valid photo."
"Unable to connect to chat. Check your Internet connection.";"Unable to connect to chat. Check your Internet connection."
"YNCHAT_GLOBAL_SETTINGS_DESCRIPTION";"General settings of YouNet Chat plugins. These settings affect all members in your community."
