#notification 

"ACTIVITY_TYPE_YNMEDIAIMPORTER_IMPORTED";"When media is imported successful."
"_ACTIVITY_ACTIONTYPE_YNMEDIAIMPORTER_IMPORTED";"When media is imported successful."
"ADMIN_ACTIVITY_TYPE_YNMEDIAIMPORTER_IMPORTED";"When media is imported successful."
"Your media imported successful {item:$object}.";"Your media imported successful {item:$object}."
"{item:$subject} imported photos in {item:$object}";"{item:$subject} imported photos in {item:$object}"

"pagetitle-ynmediaimporter-process-import";"Social Media Importer - Process"
"Social Media Importer - Facebook";"Social Media Importer - Facebook"
"pagetitle-ynmediaimporter-index-facebook";"Social Media Importer - Facebook"
"Select All";"Select All"
"Unselect All";"Unselect All"
"Import Selected";"Import Selected"
"Not imported yet";"Not imported yet"
"Social Media Importer";"Social Media Importer"
"picasa";"Picasa"
"flickr";"Flickr"
"instagram";"Instagram"
"Disconnect";"Disconnect"
"My Photos";"My Photos"
"PhotoStream";"PhotoStream"
"My Albums";"My Albums"
"Tagged Me";"Tagged Me"
"Tagged Photos";"Tagged Photos"
"I Liked Photos";"I Liked Photos"
"I Liked Albums";"I Liked Albums"
"My Friends Photos";"My Friends Photos"	
"My Friends Albums";"My Friends Albums"
"Social Media Importer, Facebook";"Social Media Importer, Facebook"
"photo(s):";"photo(s):"
"%s photo";"%s photo";"%s photos"
"facebook";"Facebook"
"Social Media Importer - Demo Site";"Social Media Importer - Demo Site"
"ynmediaimporter_import_description";"<p>Social Media Importer is a right tool for your members if you want to enrich your site. It imports Photo from other top social networks like Facebook, Flickr, Picasa, etc.</p><p>Members will be able to get their photos from other social networks and set them to be either private or public through 'Privacy Setting'.</p>"
"Connected as";"Connected as"
"import_status_";"Not import yet"
"import_status_0";"Not import yet"
"import_status_1";"In Scheduler"
"import_status_2";"Pending"
"import_status_3";"Imported"
"yfrog";"YFrog"

"Social Media Importer - Import Media";"Social Media Importer - Import Media"
"Import media from social network to enrich your content.";"Import media from social network to enrich your content."
"Import %s photo(s).";"Import %s photo(s)."
"Import <strong>%s</strong> photo(s)";"Import <strong>%s</strong> photo(s)"
"Social Media Importer - Choose Album";"Social Media Importer - Choose Album"
"Choose album or create new album to import media.";"Choose album or create new album to import media."
"Choose Album";"Choose Album"
"Album Title";"Album Title"
"Category";"Category"
"Album Description";"Album Description"
"Show this album in search results";"Show this album in search results"
"Privacy";"Privacy"
"Who may see this album?";"Who may see this album?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this album?";"Who may post comments on this album?"
"Tagging";"Tagging"
"Who may tag photos in this album?";"Who may tag photos in this album?"
"Your import request has been completed.";"Your import request has been completed."
"Social Media Importer";"Social Media Importer"
"Loading ...";"Loading ..."
"Loading";"Loading"
"Imported";"Imported"
"Processing your request ...";"Processing your request ..."
"Your request has been added to the queue.";"Your request has been added to the queue."

"Connect to facebook";"Connect to Facebook"
"Connect to picasa";"Connect to Picasa"
"Connect to flickr";"Connect to Flickr"
"Connect to instagram";"Connect to Instagram"
"Connect to yfrog";"Connect to YFrog"
"pagetitle-ynmediaimporter-index-index";"Social Media Importer"

"Uploaded Photos";"Uploaded Photos"
"Refresh";"Refresh"
"View More";"View More"
"My Photoset";"My Photoset"
"Sets";"Sets"
"My Galleries";"My Galleries"
"Galleries";"Galleries"
"Discover your media";"Discover your media"
"Connected as";"Connected as"
"Connected as ";"Connected as "
"Discover facebook";"Discover Facebook"
"Discover picasa";"Discover Picasa"
"Discover flickr";"Discover Flickr"
"Discover yfrog";"Discover YFrog"
"Discover instagram";"Discover Instagram"
"Please install or enable Social Bridge plugin!";"Please install or enable Social Bridge plugin!"

"YNMEDIAIMPORTER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"To import media from Facebook, create an Application through the <a href=""http://www.facebook.com/developers/apps.php"" target=""_blank"">Facebook Developers</a> page."
"YNMEDIAIMPORTER_ADMIN_FACEBOOK_ID_DESC";"This string is provided by Facebook when you create an Application in your account"
"YNMEDIAIMPORTER_ADMIN_FACEBOOK_SECRET_DESC";"This is a 36 character string of letters and numbers provided by Facebook when you create an Application in your account."
"YNMEDIAIMPORTER_ADMIN_SETTINGS_FLICKR_DESCRIPTION";""
"YNMEDIAIMPORTER_ADMIN_SETTINGS_YFROG_DESCRIPTION";""
"YNMEDIAIMPORTER_ADMIN_SETTINGS_PICASA_DESCRIPTION";""
"YNMEDIAIMPORTER_ADMIN_SETTINGS_INSTAGRAM_DESCRIPTION";""
"YNMEDIAIMPORTER_ADMIN_SETTINGS_YFROG_DESCRIPTION";""

"No more albums found!";"No more albums found!"
"No more photos found!";"No more photos found!"
"Please contact admin to config the Facebook settings";"Please contact admin to config the Facebook settings"
"Favourites";"Favourites"
"There is no selected!";"There is no selected!"
"Checking your request ...";"Checking your request ..."
"It seem all selected photos is set to queue. So the current request will be canceled.";"It seem all selected photos is set to queue. So the current request will be canceled."
