"HEADVANCEDALBUM_Advanced Album";"Advanced Photo Albums"
"HE - Advanced Photo Albums"; "HE - Advanced Photo Albums"

"HEADVANCEDALBUM_Quick"; "Quick"
"HEADVANCEDALBUM_Advanced"; "Advanced"
"HEADVANCEDALBUM_SEE_MORE"; "See More"
"HEADVANCEDALBUM_SORT"; "Sort"


"HEADVANCEDALBUM_Browse Albums"; "Browse Albums"
"HEADVANCEDALBUM_Browse Photos"; "Browse Photos"
"HEADVANCEDALBUM_Albums";"Albums"
"HEADVANCEDALBUM_Photos";"Photos"
"HEADVANCEDALBUM_Photos of %s";"Photos of %s"
"HEADVANCEDALBUM_My Albums";"My Albums"
"HEADVANCEDALBUM_Add New Photos";"Add New Photos"

"Global Settings"; "Global Settings"
"These settings affect all members in your community."; "These settings affect all members in your community."
"Featured Albums Count"; "Featured Albums Count"
"How many featured albums will be shown on the widget"; "How many featured albums will be shown on the widget"
"Featured Photos Count"; "Featured Photos Count"
"How many featured photos will be shown on the widget"; "How many featured photos will be shown on the widget"
"Popular Albums Count"; "Popular Albums Count"
"How many popular albums will be shown on the widget"; "How many popular albums will be shown on the widget"


"HEADVANCEDALBUM_Albums"; "Albums"
"HEADVANCEDALBUM_Recent"; "Recent"
"HEADVANCEDALBUM_Popular"; "Popular"
"HEADVANCEDALBUM_There are no photos";"There are no photos"
"HEADVANCEDALBUM_There are no albums";"There are no albums"
"HEADVANCEDALBUM_Search"; "Search"
"by"; "by"

"HEADVANCEDALBUM_You have not added any photos yet."; "You have not added any photos yet."
"HEADVANCEDALBUM_Choose from your Photos"; "Choose from your Photos"

"HEADVANCEDALBUM_Manage Albums"; "Manage Albums"
"HEADVANCEDALBUM_Global Settings"; "Global Settings"

"Nobody has created an photo yet."; "Nobody has created an photo yet."
"Nobody has created an photo with that criteria."; "Nobody has created an photo with that criteria."
