"pagetitle-page-level-admin-permission";"Permissions"
"pagetitle-page-index-admin-packages";"Permissions - Packages"
"%s package found";"%s package found";"%s packages found"
"Total Pages";"Total Pages"
"Back to Permission Settings";"Back to Permissions"
"Page Features/Apps";"Page Features/Apps"
"pagetitle-page-edit-admin-packages";"Edit Package"
"pagetitle-page-create-admin-packages";"Create Package"
"How often should pages in this package be billed?";"How often should pages in this package be billed?"
"Create Package";"Create Package"
"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the page will be billed at the above billing cycle for the period of time specified here.";"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the page will be billed at the above billing cycle for the period of time specified here."
"there are no claimable page creators";"There are no claimable page creators."
"pagetitle-page-index-admin-claim";"Manage Claims"
"pagetitle-page-process-admin-claim";"Page Claims"
"there are no claims ";"There are no claims."
"pagetitle-page-index-admin-editor";"Default Layout Editor"
"pagetitle-page-index-admin-subscription";"Page Subscriptions"
"Deleted Page";"Deleted Page"
"pagetitle-page-index-admin-transactions";"Transactions"
"pagetitle-page-index-admin-manage";"View Pages"
"PAGE_ADMINPERMISSION_MODE_DESCRIPTION";"Permission settings allow you set up the way you earn money from your page owners(business members). Flexible permission system of Pages plugin provides two options:<br />
- <b>Member Level mode</b>. If your site is based on subscription system and you earn by selling subscriptions for member level then it is an easiest mode for you. You can allow and/or restrict Pages plugin and Store plugin features by member level.<br />
- <b>Package mode</b>. You can create packages which provides various features set. So your members choose a package which is most suitable for their needs. For example, you can create Free package which allows to everyone for free to create Page but without some features - no option to sell products, albums, etc. At the same time, you provide Paid package which costs $9 per month and allows page owner to upload photos, sell products, and so on.<br /><br />
If you would like to provide selling option for pages then you need to install <a href=""http://anonym.to/http://www.hire-experts.com/social-engine/store-plugin"" target=""_blank"">Store plugin</a>."
"PAGE_PACKAGE_Save Package";"Save Package"

"PACKAGE_ADD_NEW_PACKAGE";"Add New Package"
"PACKAGE_EDITCREATE_FORM_TITLE";"Create a New Package"
"PACKAGE_EDITCREATE_FORM_DESCRIPTION";"Below you can create a new page package which will be shown as option for members on page creation process. Please accurately check all settings below and set up them according to your needs. For example, you can create Free package which allows to everyone for free to create Page but without some features - no option to sell products, albums, etc. At the same time, you provide Paid package which costs $9 per month and allows page owner to upload photos, sell products, and so on."

"PACKAGE_EDITCREATE_FORM_NAME_TITLE";"Name"
"PACKAGE_EDITCREATE_FORM_NAME_DESCRIPTION";"Your package name"

"PACKAGE_EDITCREATE_FORM_DESCRITPION_TITLE";"Description"
"PACKAGE_EDITCREATE_FORM_DESCRITPION_DESCRIPTION";"Your package description"

"PACKAGE_EDITCREATE_FORM_PRICE_TITLE";"Price"
"PACKAGE_EDITCREATE_FORM_PRICE_DESCRIPTION";"Your package price"

"PACKAGE_EDITCREATE_FORM_DURATION_TITLE";"Duration"
"PACKAGE_EDITCREATE_FORM_DURAION_DESCRIPTION";"Your package duration"

"PACKAGE_EDITCREATE_FORM_ENABLED_TITLE";"Enabled"
"PACKAGE_EDITCREATE_FORM_ENABLED_DESCRIPTION";"Is your package enabled after creation?"

"PACKAGE_EDITCREATE_FORM_AUTOAPPROVED_TITLE";"Auto-Approve"
"PACKAGE_EDITCREATE_FORM_AUTOAPPROVED_DESCRIPTION";"Auto-Approve pages of this package. These pages will not need admin moderation approval before going live."

"PACKAGE_EDITCREATE_FORM_SPONSORED_TITLE";"Sponsored"
"PACKAGE_EDITCREATE_FORM_SPONSORED_DESCRIPTION";"Make pages of this package as Sponsored."

"PACKAGE_EDITCREATE_FORM_FEATURED_TITLE";"Featured"
"PACKAGE_EDITCREATE_FORM_FEATURED_DESCRIPTION";"Make pages of this package as Featured."

"PACKAGE_EDITCREATE_FORM_TELL_TITLE";"Tell your friend"
"PACKAGE_EDITCREATE_FORM_TELL_DESCRIPTION";"Tell your friends about this!"

"PACKAGE_EDITCREATE_FORM_PRINT_TITLE";"Print"
"PACKAGE_EDITCREATE_FORM_PRINT_DESCRIPTION";"Show Print button"

"PACKAGE_EDITCREATE_FORM_OVERVIEW_TITLE";"Overview"
"PACKAGE_EDITCREATE_FORM_OVERVIEW_DESCRIPTION";"Overview"

"PACKAGE_EDITCREATE_FORM_LOCATION_TITLE";"Location Map"
"PACKAGE_EDITCREATE_FORM_LOCATION_DESCRIPTION";"Location Map"

"PACKAGE_EDITCREATE_FORM_INSIGHTS_TITLE";"Insights"
"PACKAGE_EDITCREATE_FORM_INSIGHTS_DESCRIPTION";"Insights"

"PACKAGE_EDITCREATE_FORM_DETAILS_TITLE";"Contact Details"
"PACKAGE_EDITCREATE_FORM_DETAILS_DESCRIPTION";"Contact Details"

"PACKAGE_EDITCREATE_FORM_UPDATE_TITLE";"Send An Announcement"
