"YNCREDIT_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"YNCREDIT_ACTION_TYPE_ADVALBUM_PHOTO_NEW";"Upload a photo"
"YNCREDIT_ACTION_TYPE_ALBUM_PHOTO_NEW";"Upload a photo"

"YNCREDIT_ACTION_TYPE_GROUP_CREATE";"Create new group"
"YNCREDIT_ACTION_TYPE_GROUP_JOIN";"Join a group"
"YNCREDIT_ACTION_TYPE_GROUP_TOPIC_CREATE";"Create a topic in a group"
"YNCREDIT_ACTION_TYPE_GROUP_TOPIC_REPLY";"Reply a topic in a group"
"YNCREDIT_ACTION_TYPE_GROUP_PHOTO_UPLOAD";"Upload a photo in a group"
"YNCREDIT_ACTION_TYPE_ADVGROUP_TOPIC_REPLY";"Reply a topic"
"YNCREDIT_ACTION_TYPE_ADVGROUP_PHOTO_UPLOAD";"Upload a photo in the group"
"YNCREDIT_ACTION_TYPE_ADVGROUP_CREATE";"Create a group"
"YNCREDIT_ACTION_TYPE_ADVGROUP_JOIN";"Join a group"
"YNCREDIT_ACTION_TYPE_ADVGROUP_TOPIC_CREATE";"Create a toptic in a group"

"YNCREDIT_ACTION_TYPE_BLOG_NEW";"Create a blog"
"YNCREDIT_ACTION_TYPE_YNBLOG_NEW";"Create new blog"

"YNCREDIT_ACTION_TYPE_SHARE";"Share an item"
"YNCREDIT_ACTION_TYPE_CORE_LIKE";"Like an item"
"YNCREDIT_ACTION_TYPE_CORE_COMMENT";"Comment on an item"
"YNCREDIT_ACTION_TYPE_SIGNUP";"Sign up"
"YNCREDIT_ACTION_TYPE_ACTIVITY_LIKE";"Like a post on wall"
"YNCREDIT_ACTION_TYPE_USER_LOGIN";"Login"
"YNCREDIT_ACTION_TYPE_ACTIVITY_COMMENT";"Comment a post on wall"
"YNCREDIT_ACTION_TYPE_NETWORK_JOIN";"Join network"
"YNCREDIT_ACTION_TYPE_FRIENDS";"New friendship"
"YNCREDIT_ACTION_TYPE_STATUS";"Post status"
"YNCREDIT_ACTION_TYPE_CORE_LINK";"Share a link on wall"
"YNCREDIT_ACTION_TYPE_POST_SELF";"Share an item on wall"
"YNCREDIT_ACTION_TYPE_POST";"Post on other profile"
"YNCREDIT_ACTION_TYPE_USER_PROFILE_EDIT";"Edit user's profile"
"YNCREDIT_ACTION_TYPE_PROFILE_PHOTO_UPDATE";"Update profile photo"

"YNCREDIT_ACTION_TYPE_SUBSCRIPTION";"Pay subscription fee"

"YNCREDIT_ACTION_TYPE_EVENT_TOPIC_CREATE";"Create a topic in an event"
"YNCREDIT_ACTION_TYPE_EVENT_TOPIC_REPLY";"Reply a topic in an event"
"YNCREDIT_ACTION_TYPE_EVENT_PHOTO_UPLOAD";"Upload a photo in an event"
"YNCREDIT_ACTION_TYPE_EVENT_CREATE";"Create an event"
"YNCREDIT_ACTION_TYPE_EVENT_JOIN";"Join an event"
"YNCREDIT_ACTION_TYPE_YNEVENT_CREATE";"Create an event"
"YNCREDIT_ACTION_TYPE_YNEVENT_JOIN";"Join an event"
"YNCREDIT_ACTION_TYPE_YNEVENT_TOPIC_CREATE";"Create a topic in an event"
"YNCREDIT_ACTION_TYPE_YNEVENT_TOPIC_REPLY";"Reply a topic in an event"
"YNCREDIT_ACTION_TYPE_YNEVENT_PHOTO_UPLOAD";"Upload a photo in an event"

"YNCREDIT_ACTION_TYPE_FORUM_TOPIC_CREATE";"Post a forum topic"
"YNCREDIT_ACTION_TYPE_FORUM_TOPIC_REPLY";"Reply a forum topic"
"YNCREDIT_ACTION_TYPE_YNFORUM_TOPIC_CREATE";"Post a forum topic"
"YNCREDIT_ACTION_TYPE_YNFORUM_TOPIC_REPLY";"Reply a forum topic"
"YNCREDIT_ACTION_TYPE_YNFORUM_POST_THANK";"Thanks a post"

"YNCREDIT_ACTION_TYPE_MP3MUSIC_ALBUM_SONG";"Upload a music"
"YNCREDIT_ACTION_TYPE_MUSIC_PLAYLIST_SONG";"Upload a music"
"YNCREDIT_ACTION_TYPE_BUY_MP3MUSIC";"Buy a music"

"YNCREDIT_ACTION_TYPE_POLL_NEW";"Create new poll"

"YNCREDIT_ACTION_TYPE_VIDEO_NEW";"Upload a video"
"YNCREDIT_ACTION_TYPE_YNVIDEO_VIDEO_NEW";"Upload a video"
"YNCREDIT_ACTION_TYPE_YNULTIMATEVIDEO_VIDEO_NEW";"Post a video"

"YNCREDIT_ACTION_TYPE_GROUPBUY_NEW";"Post a new deal"
"YNCREDIT_ACTION_TYPE_GROUPBUY_BUY";"Buy a deal"

"YNCREDIT_MODULE_YNCREDIT";"User Credits"
"YNCREDIT_ACTION_TYPE_BUY_CREDITS";"Buy credits"
"YNCREDIT_ACTION_TYPE_SEND_CREDITS";"Give credits"
"YNCREDIT_ACTION_TYPE_RECEIVE_CREDITS";"Receive credits"
"YNCREDIT_ACTION_TYPE_DEBIT_CREDITS";"Admin send mass debits"
"YNCREDIT_ACTION_TYPE_UPGRADE_SUBSCRIPTION";"Buy/Upgrade subscription by credits"
"YNCREDIT_ACTION_TYPE_PUBLISH_DEAL";"Use credit to publish deal"
"YNCREDIT_ACTION_TYPE_BUY_DEAL";"Use credit to buy deal"
"YNCREDIT_ACTION_TYPE_PUBLISH_CONTEST";"Use credit to publish contest"

"YNCREDIT_ACTION_TYPE_YNCONTEST_ENTRY";"Post a new entry"
"YNCREDIT_ACTION_TYPE_YNCONTEST_NEW";"Post a new contest"
"YNCREDIT_ACTION_TYPE_YNCONTEST_JOIN";"Join a contest"

"YNCREDIT_ACTION_TYPE_SOCIAL_STORE_NEW";"Post a new store"
"YNCREDIT_ACTION_TYPE_SOCIAL_PRODUCT_BUY";"Buy product"
"YNCREDIT_ACTION_TYPE_SOCIAL_PRODUCT_NEW";"Post a new product"

"YNCREDIT_ACTION_TYPE_YNAUCTION_NEW";"Post a new auction"
"YNCREDIT_ACTION_TYPE_YNAUCTION_BUY";"Buy auction"
"YNCREDIT_ACTION_TYPE_YNAUCTION_WON";"Win auction"

"YNCREDIT_ACTION_TYPE_FILE";"Add a new file sharing"

"YNCREDIT_ACTION_TYPE_CLASSIFIED_NEW";"Post a new listing"

"YNCREDIT_ACTION_TYPE_YNFUNDRAISING_NEW";"Add a new campaign"
"YNCREDIT_ACTION_TYPE_YNFUNDRAISING_DONATE_MSG";"Donate campaign"

"YNCREDIT_ACTION_TYPE_YNIDEA_TROPHY_NEW";"Add a new trophy"
"YNCREDIT_ACTION_TYPE_YNIDEA_IDEA_PUBLISH";"Add a new idea"

"YNCREDIT_ACTION_TYPE_YNWIKI_NEW";"Create a new wiki"

"YNCREDIT_ACTION_TYPE_CONTACTIMPORTER_JOINED";"Invite friend successfully"

"YNCREDIT_ACTION_TYPE_YNMEDIAIMPORTER_IMPORTED";"Import albums"

"YNCREDIT_ACTION_TYPE_SOCIALPUBLISHER_PUBLISH";"Publish an item"

"YNCREDIT_ACTION_TYPE_PROFILE_COMPLETED";"User Profile Completeness: 100%"

"YNCREDIT_ACTION_TYPE_SOCIALSTREAM_FACEBOOK";"Get feeds from Facebook"
"YNCREDIT_ACTION_TYPE_SOCIALSTREAM_TWITTER";"Get feeds from Twitter"
"YNCREDIT_ACTION_TYPE_SOCIALSTREAM_LINKEDIN";"Get feeds from LinkedIn"

"YNCREDIT_ACTION_TYPE_YNAFFILIATE_PUBLISH_STORE";"Publish store"
"YNCREDIT_ACTION_TYPE_YNAFFILIATE_PUBLISH_PRODUCT";"Publish product"
"YNCREDIT_ACTION_TYPE_YNAFFILIATE_BUY_PRODUCT";"Buy product"
"YNCREDIT_ACTION_TYPE_YNAFFILIATE_PUBLISH_DEAL";"Publish deal"
"YNCREDIT_ACTION_TYPE_YNAFFILIATE_BUY_DEAL";"Buy Deal"
"YNCREDIT_ACTION_TYPE_YNAFFILIATE_PUBLISH_YNAUCTION";"Publish auction"
