"All Updates";"All Updates"
"Friends";"Friends"
"with";"with"
"at";"at"
"others";"others"
"and";"and"
"Undo";"Undo"
"Hide all by";"Hide all by"
"Feeds from %s are hidden now and will not appear in your Activity Feed anymore.";"Feeds from %s are hidden now and will not appear in your Activity Feed anymore."
"This feed  is now hidden from your Activity Feed";"This feed  is now hidden from your Activity Feed"
"To mark it offensive, please %s";"To mark it offensive, please %s"
"file a report";"file a report"
"%d new update is available - click this to show it.";"%d new update is available - click this to show it.";"%d new updates are available - click this to show them."
"%d new updates are available - click this to show them.";"%d new updates are available - click this to show them."
"The post was not added to the feed. Please check your %1$sprivacy settings%2$s.";"The post was not added to the feed. Please check your %1$sprivacy settings%2$s."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Loading ...";"Loading ..."
"Activity Item Not Found";"Activity Item Not Found"
"The page you have attempted to access could not be found.";"The page you have attempted to access could not be found."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"View More";"View More"
"There are no more posts to show.";"There are no more posts to show."
"Not post";"Not post"
"Invalid data";"Invalid data"
"Success!";"Success!"
"Your tag has been removed.";"Your tag has been removed."
"Your changes have been saved.";"Your changes have been saved."
"Your report has been submitted.";"Your report has been submitted."
"Everyone";"Everyone"
"Friends & Networks";"Friends & Networks"
"Friends Only";"Friends Only"
"Only Me";"Only Me"
"All Group Members";"All Group Members"
"Officers and Owner Only";"Officers and Owner Only"
"Owner Only";"Owner Only"
"Event Guests Only";"Event Guests Only"
"Edit Activity Feed Settings";"Edit Activity Feed Settings"
"Hide feeds from:";"Hide feeds from:"
"Remove";"Remove"
"You have not hidden activity feeds from any sources.";"You have not hidden activity feeds from any sources."
"Save";"Save"
"Cancel";"Cancel"
"%s friend";"%s friend";"%s friends"
"People";"People"
"People Who Shared This";"People Who Shared This"
"Settings";"Settings"
"More";"More"
"All Activities";"All Activities"
"Event Owner";"Event Owner"
"Owner";"Owner"
"Guests";"Guests"
"Officers";"Officers"
"Members";"Members"
"Friends";"Friends"
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"Delete Feed";"Delete Feed"
"Report Feed";"Report Feed"
"Hide all from %s";"Hide all from %s"
"Remove From Saved Feeds";"Remove From Saved Feeds"
"Save Feed";"Save Feed"
"Edit Feed";"Edit Feed"
"others";"others"
"Unlike";"Unlike"
"Like";"Like"
"Comment";"Comment"
"Remove Tag";"Remove Tag"
"Share";"Share"
"%s share";"%s share";"%s shares"
"%s likes this.";"%s likes this.";"%s like this."
"%s person likes this";"%s person likes this";"%s person like this"
"View all %s comment";"View all %s comment";"View all %s comments"
"delete";"delete"
"like";"like"
"unlike";"unlike"
"What's on your mind?";"What's on your mind?"
"+ Who are you with?";"+ Who are you with?"
"> Where are you?";"> Where are you?"
"Tag people in your post";"Tag people in your post"
"Add a location to post";"Add a location to post"
"Insert Emoticons";"Insert Emoticons"
"Privacy";"Privacy"
