"pagetitle-credit-index-index";"Credits"
"pagetitle-credit-buy-index";"Get More Credits"
"pagetitle-credit-faq-index";"Credits FAQ"
"pagetitle-credit-manage-index";"My Credits"
"Credit";"Credit"
"CREDIT_Credit";"HE - Credits"
"Credits";"Credits"
"My Credits";"My Credits"
"Credits Plugin";"Credits Plugin"
"Member Credits";"Member Credits"
"Current Credits";"Credits Balance"
"Earned Credits";"Total Earned Credits"
"Spent Credits";"Total Spent Credits"
"This page displays all users who scored more points";"This page displays all users who scored more credits"
"transfer";"Transfer"
"Credit Home";"Home"
"%s Credit for ";"%s Credit for ";"%s Credits for "
"Current Balance: %s Credits";"Current Balance: %s Credits"
"CREDIT_My Credits Description";"Earn credits and increase your position. Below you can view quick statistics for your profile:"
"CREDIT_Quick Links Description";"You can earn credits by posting various interesting social media content, for more information please check FAQ section."
"CREDIT_FAQ_ACTION_TYPES_DESCRIPTION";"You can earn credits doing the following activities:"
"%s You can buy credits by click this button.";"%s You can buy credits using your credit card, 2Checkout account or PayPal account, just click on <b>Buy Credits</b> button:"
"Buy Credits";"Buy Credits"
"more";"more"
"How many credits would you like to add to your account?";"How many credits would you like to add to your account?"
"% bonus";"% bonus"
"Action Type";"Action Type"
"Max Credit";"Max Credit"
"Rollover Period";"Rollover Period"
" day(s)";" day(s)"
"never";"never"
"Your Place";"Your Place"
"Your Place %s";"Your Place %s"
"Current Balance";"Current Balance"
"start typing...";"start typing..."
"Your Friend Name";"Your Friend Name"
"Send Credit";"Send Credit"
"Send Credits";"Send Credits"
"Action Date";"Action Date"
"Transaction List";"Transaction List"
"Sending credits to %s";"Sending credits to %s"
"This page displays all credits of current user";"This page displays the user credits"
"Sorry, this User doesn't exist, please, choose from suggestion list!";"This member is not found. Please choose a member from suggestion list."
"Sorry, you didn't enter credits";"Please type the number of credits which you would like to send."
"Sorry, Admin doesn't allow to transfer for this level.";"Your member level is not allowed to send credits."
"Sorry, Admin doesn't allow to transfer for you, you have reached the daily limit.";"Failed. You have reached the daily limit for sending credits."
"%s credits successfully sent to your friend %s";"%s credits have been successfully sent to your friend %s"
"Top Members";"Top Members"
"Quick Links";"Quick Links"

"_CREDIT_ADMIN_STATS_EARN";"Earned Credits"
"_CREDIT_ADMIN_STATS_TRANSFER";"Transfered Credits"
"_CREDIT_ADMIN_STATS_BUY";"Purchased Credits"
"_CREDIT_ADMIN_STATS_SPENT";"Spent Credits"
"Credit Transactions";"Transactions"
"Assign Credits";"Assign Credits"
"Credit Level Settings";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Yes, allow.";"Yes, allow."
"No, do not allow";"No, do not allow"
"Allow Credits?";"Allow Credits?"
"CREDIT_FORM_ADMIN_LEVEL_ALLOW_CREDIT_DESCRIPTION";"Do you want to let members use(earn,spend,etc) credits?"
"Allow Transfer?";"Allow Transfer?"
"CREDIT_FORM_ADMIN_LEVEL_ALLOW_TRANSFER_DESCRIPTION";"Do you want to let members to transfer(send) credits?"
"Max Credits Send";"Max Credits Send"
"CREDIT_FORM_ADMIN_LEVEL_MAX_SEND_DESCRIPTION";"Set the max number of credits which can be sent"
"Max Credits Receive";"Max Credits Receive"
"CREDIT_FORM_ADMIN_LEVEL_MAX_RECEIVED_DESCRIPTION";"Set the max number of credits which can be received"
"CREDIT_VIEWS_SCRIPTS_ADMINMEMBERS_INDEX_DESCRIPTION";"Below you browse members and view their credits balance, total earned and spent credits amount, edit their credit balance, etc. Please use the form below to find the member by Display Name."
"Edit Member's Credit";"Edit Member's Credits Details"
"CREDIT_ADMIN_EDIT_MEMBER_CREDITS_DESC";"Below you can edit the number of total earned, total spent credits and credit balance. Please be accurate to avoid any confusion."
"Current";""
"Earned";""
"Spent";""
"CREDIT_VIEWS_SCRIPTS_ADMINMEMBERS_TRANSACTIONS_DESCRIPTION";"Below you can browse credit transactions history of this user, you can filer transactions by type of credits(transfers, spent credits) and activity type(uploading photo, video, liking, etc)."
"CREDIT_VIEWS_SCRIPTS_ADMININDEX_INDEX_DESCRIPTION";"Below you can browse credit transactions per user, type of credits(transfers, spent credits) and activity type(uploading photo, video, liking, etc)."
"CREDIT_VIEWS_SCRIPTS_ADMINASSIGNCREDITS_INDEX_DESCRIPTION";"Here you can control all settings of credits, you can edit how many credits member can earn doing various activities within some period.<br /><br />
`<b>Credit</b>` - set the number of credits which member can earn by doing this activity. Set it 0(zero) if you don't want members to earn credits doing this activity and this activity won't be displayed in FAQ section for members;<br /><br />
`<b>Max</b>` - set the maximum number of credits which member can earn by doing this activity within Rollover Period;<br /><br />
`<b>Rollover Period</b>` - is a period within Max number of credits restriction is applied. Set it 0(zero) if you would like to apply Max number of credits to forever;<br />"
"CREDIT_VIEWS_SCRIPTS_ADMINGIVECREDITS_INDEX_DESCRIPTION";""
"Give Mass Credits";"Give Mass Credits"
"CREDIT_GIVE_MASS_CREDITS_DESC";"This form allows to you send credits to many members by member level, networks, or by selected members. For example, send 100 credits to all members from North America network.<br /><br />
Also you can set this number of credits as a current balance. For example, set 500 credits to all members from Moderators member level."
"Set default credits to users witch chose";"Set this number of credits as current balance"
"How much do you want to give this users";"How much do you want to give this users"
"All Users";"All Users"
"by Level";"by Level"
"by Network";"by Network"
"Specific Users";"Specific Users"
"All Levels";"All Levels"
"All Networks";"All Networks"
"Present to:";"Present to:"
"Notification";"Notification"
"Specific Users (or user)";"Select recipient(s) by name"
"Giving Credits to Users";"Giving Credits to Members"
"Sending mass message to chose users";"Sending mass message to the selected members"
"Send What?";"How to notify member?"
"CREDIT_Send or set credits message";"Hello,
We have gifted credits for you. Please check your current credits balance at Credits section. Thank you for being with us.
Site Administration"
"CREDIT_VIEWS_SCRIPTS_ADMINPAYMENTS_INDEX_DESCRIPTION";"You can sell virtual credits to your members so they can buy using their credit card or PayPal account. You need to set up PayPal or 2Checkout settings to receive payments: <a href='admin/payment/gateway'>Payment Gateways</a><br />
You can sell credit packets, you can set price and provide some discounts for a large packages - it automatically detects discounts and displays it accordingly."
"Payment Settings";"Sell Credits"
"Add";"Add"
"Option";"Option"
"CREDIT_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Here you can view detailed statistics for earned, spent, transferred and purchased credits per period(this year, this month, this week), etc. Please use the form below to filter statistics."
"CREDIT_VIEWS_SCRIPTS_ADMININDEX_BADGES_DESCRIPTION";"If you would like to provide get Badges feature which allows to you to intend members to get more credits to get appropriate Badges(Newbie, Officer, Silver Member, etc) then you to have <a href='http://anonym.to/http://www.hire-experts.com/social-engine/badges-plugin' target='_blank'>Badges plugin</a>. Badges plugin provides many other great features which increase interaction on your like Credits plugin, please check full detail here - <a href='http://anonym.to/http://www.hire-experts.com/social-engine/badges-plugin' target='_blank'>Badges plugin</a>."
"CREDIT_ADMIN_BADGES_IS_DISABLED_DESCRIPTION";"If you have disabled Badges plugin then please enable to integrate it with Credits plugin."
"You can send message or send notification or none of them";"You can send message or notification or none of them"
"Badges";"Badges"

"_EMAIL_CREDIT_TRANSACTION_OVERDUE_TITLE";"Credit Transaction Overdue"
"_EMAIL_CREDIT_TRANSACTION_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when his payment for a credit packer is failed."
