"STORE_All Categories";"All Categories"
"STORE_VIEWS_SCRIPTS_ADMINPINDEX_PRODUCTS_DESCRIPTION";"Store plugin allows you to sell own products and services. If you would like your members to sell products, then you need to have <a href=""http://anonym.to/http://www.hire-experts.com/social-engine/pages-se4-plugin"" target=""_blank"">Pages plugin</a> and <a href=""http://anonym.to/http://www.hire-experts.com/socialengine-pages-plugin-extensions"" target=""_blank"">its extensions</a> installed. So members will be able to create own page on your social network, promote and provide support on this page.<br />
The products of your store are listed here. If you need to search for a specific product, enter your search criteria in the fields below."
"%s product found.";"%s product found.";"%s products found."
"STORE_Editing Store Category";"Editing Store Category"
"STORE_Rename Category";"Rename Category"
"STORE_Delete Category";"Delete Category"
"STORE_Create New Category";"Create New Category"
"STORE_Product Title";"Product Title"
"STORE_Simple";"Simple"
"STORE_Discount";"Discount"
"STORE_Price Type";"Price Type"
"STORE_Product Price";"Product Price"
"STORE_Payment Currency";"Payment Currency"
"STORE_Product List Price";"Price without the discount"
"STORE_Quantity";"Quantity"
"STORE_Amount of product for sell";"Quantity of available products for sell"
"STORE_Add Product";"Add Product"
"STORE_PRICE_TYPE_DESCRIPTION";"If you have a discount for your product then choose `Discount` type which shows cross outed and discounted price for attraction of your potential customers."
"STORE_LIST_PRICE_DESCRIPTION";"This cross outed price is shown beside the discounted price for attraction of potential customers."
"STORE_Add to Cart";"Add to Cart"
"Share Product";"Share Product"
"STORE_Store";"Store"
"HE - Store";"HE - Store"
"STORE_Browse Products";"Browse Products"
"STORE_My Products";"My Products"
"STORE_min";"min"
"STORE_max";"max"
"STORE_Add New Product";"Add New Product"
"STORE_Checkout";"Checkout"
"STORE_VIEWS_SCRIPTS_TRANSACTION_GATEWAY_DESCRIPTIONS";"You are on the way to purchase the selected products. Please select a payment option below and you will be taken to a secure checkout area where you can easily complete your purchase. Remember to continue back to our site after your purchase."
"STORE_sponsored0";"set sponsored"
"STORE_sponsored1";"set usual"
"STORE_featured0";"set featured"
"STORE_featured1";"set usual"
"ADMIN_STORE_TITLE";"Social Network's Store"
"ADMIN_STORE_DESCRIPTION";"Official store of social network"
"_EMAIL_STORE_TRANSACTION_PENDING_TITLE";"Store Transaction Pending"
"_EMAIL_STORE_TRANSACTION_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is pending."
"_EMAIL_STORE_TRANSACTION_PENDING_SUBJECT";"Your payment is pending"
"_EMAIL_STORE_TRANSACTION_PENDING_BODY";"[header]

Thank you for purchasing from [store_title] store. Your payment is pending,
awaiting completion of the transaction. Your product will be activated soon,
we will notify you by email when it is ready.
Thank you for your patience.

[footer]"

"_EMAIL_STORE_TRANSACTION_OVERDUE_TITLE";"Store Transaction Overdue"
"_EMAIL_STORE_TRANSACTION_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is overdue."
"_EMAIL_STORE_TRANSACTION_OVERDUE_SUBJECT";"Your payment is overdue"
"_EMAIL_STORE_TRANSACTION_OVERDUE_BODY";"[header]

Your payment is overdue because of a failed or missed payment.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_CANCELLED_TITLE";"Store Transaction Cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_SUBJECT";"Your payment has been cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_BODY";"[header]

Your payment has been cancelled.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_REFUNDED_TITLE";"Store Transaction Refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_SUBJECT";"Your payment has been refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_BODY";"[header]

Your payment has been refunded.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_SUCCESS_TITLE";"Store Transaction Completed Successfully"
"_EMAIL_STORE_TRANSACTION_SUCCESS_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is completed successfully"
"_EMAIL_STORE_TRANSACTION_SUCCESS_SUBJECT";"Your payment has been completed"
"_EMAIL_STORE_TRANSACTION_SUCCESS_BODY";"[header]

Thank you for purchasing from our store. Your payment has been completed successfully.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

[object_link]

[footer]"

"STORE_Search Product";"Search Products"
"STORE_Product Categories";"Categories"
"STORE_Product Tags";"Tags"
"STORE_Product Of The Day";"Product Of The Day"
"STORE_Featured Products";"Featured Products"
"STORE_Sponsored Products";"Sponsored Products"
"STORE_Products";"Products"
"STORE_Store Locations";"Store Locations:"
"STORE_Store Categories";"Store Categories:"
"STORE_Store Of The Day";"Store Of The Day"
"STORE_Store Tags";"Store Tags"
"STORE_Popular Stores";"Popular Stores"
"More Products";"More Products"
"Upload complete.";"Upload has been completed."
"Delete Product";"Delete Product"
"Are you sure you want to delete this product?";"Are you sure you want to delete this product?"
"STORE_FANCY_UPLOAD_DESCRIPTION";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"STORE_UPLOAD_A_PHOTO_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your product."
"Main Photo";"Main Photo"
"Submitted by";"Submitted by"
"Uncategorized";"Uncategorized"
"You do not have any products yet.";"You do not have any products yet."
"Get started by %1$screating%2$s your first product.";"Get started by %1$screating%2$s your first product."
"Store Plugin";"Store Plugin"
