"%s person check in here";"%s person check in here";"%s people check in here"
"Can not find the business.";"Can not find the business."
"Set featured successfully!";"Set featured successfully!"
"Unset sponsored successfully!";"Unset sponsored successfully!"
"Can not set featured this business";"Can not set featured this business"
"Business doesn't exists to delete";"Business doesn't exists to delete"
"Invalid request method";"Invalid request method"
"The selected business has been deleted.";"The selected business has been deleted."
"Your changes have been saved.";"Your changes have been saved."
"Package deleted.";"Package deleted."
"Announcement has been marked as read.";"Announcement has been marked as read."
"You don\'t have permission to delete this blog entry.";"You don\'t have permission to delete this blog entry."
"Blog entry has beed deleted";"Blog entry has beed deleted"
"close";"close"
"The selected business has been closed.";"The selected business has been closed."
"published";"published"
"The selected business has been published.";"The selected business has been published."
"Business";"Business"
"Are you sure you want to";"Are you sure you want to"
"this business?";"this business?"
"Please wait...";"Please wait..."
"Listing has beed deleted";"Listing has beed deleted"
"Contest has beed deleted";"Contest has beed deleted"
"Your business theme has been updated.";"Your business theme has been updated."
"Success!";"Success!"
"Cover doesn't exists or not authorized to delete";"Cover doesn't exists or not authorized to delete"
"Delete successfully!";"Delete successfully!"
"Added role successfully!";"Added role successfully!"
"Edited role successfully!";"Edited role successfully!"
"Deal has beed deleted";"Deal has beed deleted"
"Delete successfully.";"Delete successfully."
"Claim was successfully sent. Awaiting approval.";"Claim was successfully sent. Awaiting approval."
"Success...";"Success..."
"Feature business";"Feature business"
"Login as Business Successfully!";"Login as Business Successfully!"
" businesses";" businesses"
"Your message has been sent successfully.";"Your message has been sent successfully."
"proxy object does not found!.";"proxy object does not found!."
"reset proxy object %d - page id  %d";"reset proxy object %d - page id  %d"
"Your changes have been saved.";"Your changes have been saved."
"Title";"Title"
"Save";"Save"
"cancel";"cancel"
"Count";"Count"
"You don\'t have permission to delete this listing.";"You don\'t have permission to delete this listing."
"Listing has beed deleted'";"Listing has beed deleted'"
"Your invite request has been sent.";"Your invite request has been sent."
"Your invite request has been cancelled.";"Your invite request has been cancelled."
"Business joined";"Business joined"
"Business left";"Business left"
"You don\'t have permission to do this.";"You don\'t have permission to do this."
"Album Music has beed deleted";"Album Music has beed deleted"
"Please choose a photo to upload!";"Please choose a photo to upload!"
"%s photo";"%s photo";"%s photos"
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred."
"Changes saved";"Changes saved"
"Not a valid photo";"Not a valid photo"
"This user has reached the limit of businesses. Please choose another user.";"This user has reached the limit of businesses. Please choose another user."
"Cannot find this user.";"Cannot find this user."
"Post deleted.";"Post deleted."
"You don\'t have permission to add review to this business.";"You don\'t have permission to add review to this business."
"You have added a review already.";"You have added a review already."
"Your review has been created.";"Your review has been created."
"Review doesn't exists.";"Review doesn't exists."
"You don\'t have permission to edit this review.";"You don\'t have permission to edit this review."
"Business doesn't exists.";"Business doesn't exists."
"This review has been edited.";"This review has been edited."
"You don\'t have permission to delete this review.";"You don\'t have permission to delete this review."
"This review has been deleted.";"This review has been deleted."
"new topic";"new topic"
"This has been closed for posting.";"This has been closed for posting."
"Topic renamed.";"Topic renamed."
"Topic deleted.";"Topic deleted."
"Error!";"Error!"
"Body";"Body"
"Post Announcement";"Post Announcement"
"Edit Announcement";"Edit Announcement"
"Search Blogs";"Search Blogs"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Search";"Search"
"Select Themes";"Select Themes"
"*Category";"*Category"
"*Business Name";"*Business Name"
"*Short Description";"*Short Description"
"Description";"Description"
"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."
"Headquarter";"Headquarter"
"Approve members?";"Approve members?"
" When people try to join this business, should they be allowed ";" When people try to join this business, should they be allowed "
"to join immediately, or should they be forced to wait for approval?";"to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."
"Size";"Size"
"Contact Information";"Contact Information"
"Phone";"Phone"
"Fax";"Fax"
"*Email";"*Email"
"Country";"Country"
"City";"City"
"Province";"Province"
"Zip Code";"Zip Code"
"Web Address";"Web Address"
"Logo";"Logo"
"Our Facebook";"Our Facebook"
"Our Twitter";"Our Twitter"
"Operating Hours";"Operating Hours"
"Monday";"Monday"
"Tuesday";"Tuesday"
"Wednesday";"Wednesday"
"Thursday";"Thursday"
"Friday";"Friday"
"Saturday";"Saturday"
"Sunday";"Sunday"
"Default Timezone";"Default Timezone"
"Additional Information";"Additional Information"
"Tags (Keywords)";"Tags (Keywords)"
"Preview";"Preview"
"Publish Business";"Publish Business"
"Save as Draft";"Save as Draft"
"Cancel";"Cancel"
"Search classifieds";"Search classifieds"
"Search Contests";"Search Contests"
"Featured Contests";"Featured Contests"
"Premium Contests";"Premium Contests"
"Ending Soon";"Ending Soon"
"Search events";"Search events"
"Search:";"Search:"
"List By:";"List By:"
"Start Time";"Start Time"
"Recently Created";"Recently Created"
"Most Popular";"Most Popular"
"Search Groupbuy deals";"Search Groupbuy deals"
"Most Recent Deals";"Most Recent Deals"
"Most rated Deals";"Most rated Deals"
"Search Listings";"Search Listings"
"Most Liked";"Most Liked"
"Most Discussed";"Most Discussed"
"Alphabetic";"Alphabetic"
"Search albums";"Search albums"
"All Members Albums";"All Members Albums"
"Only My Albums";"Only My Albums"
"View";"View"
"Most Play";"Most Play"
"Most Commented";"Most Commented"
"Select an existing role";"Select an existing role"
"Yes, allow member to ";"Yes, allow member to "
"No, do not allow";"No, do not allow"
"Save Changes";"Save Changes"
"Search videos";"Search videos"
"Highest Rated";"Highest Rated"
"Status";"Status"
"Location";"Location"
"Radius (mile)..";"Radius (mile).."
"Category";"Category"
"None";"None"
"Buy Business";"Buy Business"
"Buy Business from %s";"Buy Business from %s"
"Feature business";"Feature business"
"Allow business owner to manage pages";"Allow business owner to manage pages"
"Allow users to join Business";"Allow users to join Business"
"Allow users to share Business";"Allow users to share Business"
"Allow users to invite friends to Business";"Allow users to invite friends to Business"
"Allow business owner to add contact form";"Allow business owner to add contact form"
"Allow business owner to add more custom fields to his Business";"Allow business owner to add more custom fields to his Business"
"Allow business to have multiple admins";"Allow business to have multiple admins"
"new video";"new video"
"new music";"new music"
"new event";"new event"
"new blog";"new blog"
"new classified";"new classified"
"new group buy deal";"new group buy deal"
"new contest";"new contest"
"new listing";"new listing"
"new poll";"new poll"
"Delete Announcement?";"Delete Announcement?"
"Are you sure that you want to delete this announcement? It will not be recoverable after being deleted.";"Are you sure that you want to delete this announcement? It will not be recoverable after being deleted."
" or ";" or "
"Delete the selected announcements?";"Delete the selected announcements?"
"Are you sure that you want to delete the %s announcement? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %s announcement? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %s announcements? It will not be recoverable after being deleted."
"Please select an announcement to delete.";"Please select an announcement to delete."
"Manage Announcements";"Manage Announcements"
"Post New Announcement";"Post New Announcement"
"(%s announcement total)";"(%s announcements total)";"(%s announcements total)"
"ID";"ID"
"Title";"Title"
"Date";"Date"
"Options";"Options"
"edit";"edit"
"delete";"delete"
"&#187; Blog Entries";"&#187; Blog Entries"
