"Abuse";"Abuse"
"Album doesn't exists or not authorized to delete";"Album doesn't exists or not authorized to delete"
"Album has been deleted.";"Album has been deleted."
"Album not found.";"Album not found."
"All Categories";"All Categories"
"All Registered Members";"All Registered Members"
"Already friends";"Already friends"
"An error has occurred.";"An error has occurred."
"Attached Image";"Attached Image"
"Bad Request";"Bad Request"
"Blog entry doesn't exist or not authorized to delete";"Blog entry doesn't exist or not authorized to delete"
"Blog not found.";"Blog not found."
"cancel";"cancel"
"Client Name";"Client Name"
"Cannot remove a non-member";"Cannot remove a non-member"
"Classified listing doesn't exist or not authorized to delete";"Classified listing doesn't exist or not authorized to delete"
"Comment added";"Comment added"
"Comment deleted";"Comment deleted"
"Create Client";"Create Client"
"Deleted member";"Deleted member"
"Edit Client";"Edit Client"
"Email existed";"Email existed"
"Entry not found.";"Entry not found."
"Everyone";"Everyone"
"Event doesn't exists or not authorized to delete";"Event doesn't exists or not authorized to delete"
"Event joined";"Event joined"
"Event left";"Event left"
"Event not found.";"Event not found."
"Forbidden";"Forbidden"
"Friends & Networks";"Friends & Networks"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this member."
"Grant Types";"Grant Types"
"Group doesn't exists or not authorized to delete";"Group doesn't exists or not authorized to delete"
"Group member removed.";"Group member removed."
"Group membership request cancelled.";"Group membership request cancelled."
"Group membership request sent";"Group membership request sent"
"Group not found.";"Group not found."
"Highest Rated";"Highest Rated"
"Inappropriate Content";"Inappropriate Content"
"Group request approved";"Group request approved"
"Invalid credentials";"Invalid credentials"
"Invalid data";"Invalid data"
"Invalid parameter";"Invalid parameter"
"Invalid parameter(s)";"Invalid parameter(s)"
"Invalid playlist";"Invalid playlist"
"Invalid playlist.";"Invalid playlist."
"Invalid Upload";"Invalid Upload"
"Invalid URI";"Invalid URI"
"Invalid video type";"Invalid video type"
"Item has already been tagged.";"Item has already been tagged."
"Item not found.";"Item not found."
"Just Me";"Just Me"
"Licensed Material";"Licensed Material"
"Like added";"Like added"
"Like removed";"Like removed"
"Listing not found.";"Listing not found."
"Member blocked";"Member blocked"
"Member not found";"Member not found"
"Member not found.";"Member not found."
"Member unblocked";"Member unblocked"
"Members invited";"Members invited"
"Missing parameter";"Missing parameter"
"Missing photo or cropping data";"Missing photo or cropping data"
"Missing tag parameter(s)";"Missing tag parameter(s)"
"Missing tag parameter(s).";"Missing tag parameter(s)."
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Network not found";"Network not found"
"No comment or wrong parent";"No comment or wrong parent"
"No file";"No file"
"No member specified";"No member specified"
"No record found with this email";"No record found with this email"
"No record of a member with that email was found.";"No record of a member with that email was found."
"Not Found.";"Not Found."
"officer";"officer"
"Old password did not match";"Old password did not match"
"One of the members specified is not in your friends list or is already a member of this group.";"One of the members specified is not in your friends list or is already a member of this group."
"One of the members specified is not in your friends list.";"One of the members specified is not in your friends list."
"One of the selected messages is not found.";"One of the selected messages is not found."
"Only Me";"Only Me"
"Only My Friends";"Only My Friends"
"Other";"Other"
"owner";"owner"
"Photo not found.";"Photo not found."
"Photo saved successfully";"Photo saved successfully"
"Playlist doesn't exists or not authorized to delete";"Playlist doesn't exists or not authorized to delete"
"Playlist not found";"Playlist not found"
"Playlist not found.";"Playlist not found."
"Please enter a search query.";"Please enter a search query."
"Please enter a valid email address.";"Please enter a valid email address."
"Please enter a valid profile address.";"Please enter a valid profile address."
"Please enter at least 6 characters and no more than 32 characters long";"Please enter at least 6 characters and no more than 32 characters long"
